iter	Passed	Remaining
942	11368	687
943	11382	675
944	11398	663
945	11411	651
946	11420	639
947	11432	627
948	11442	614
949	11453	602
950	11464	590
951	11478	578
952	11491	566
953	11502	554
954	11515	542
955	11527	530
956	11540	518
957	11553	506
958	11566	494
959	11580	482
960	11594	470
961	11606	458
962	11617	446
963	11629	434
9965	11682	4119966	11696	3999967	11708	3879968	11723	375968	11708	374
9970	11762	3519971	11772	3399972	11782	3269973	11794	3149974	11815	3029975	11834	2919976	11846	2789977	11858	2669978	11868	2549979	11880	242979	11855	241
980	11868	229
981	11879	217
982	11891	205
983	11902	193
984	11910	181
985	11921	169
986	11929	157
987	11938	144
988	11947	132
989	11955	120
990	11963	108
991	11969	96
992	11975	84
993	11983	72
994	11989	60
995	11996	48
996	12002	36
997	12008	24
998	12016	12
999	12022	0
